title,year,duration,genre,rating,movie_url
Jai Bhim,2021,2h 44m,"Crime,Drama",9.4,https://www.imdb.com/title/tt15097216/
City Lights,1931,1h 27m,"Comedy,Drama,Romance",8.5,https://www.imdb.com/title/tt0021749/
Dangal,2016,2h 41m,"Action,Biography,Drama",8.4,https://www.imdb.com/title/tt5074352/
Kimi no na wa.,2016,1h 46m,"Animation,Drama,Fantasy",8.4,https://www.imdb.com/title/tt5311514/
Joker,2019,2h 2m,"Crime,Drama,Thriller",8.4,https://www.imdb.com/title/tt7286456/
Hamilton,2020,2h 40m,"Biography,Drama,History",8.4,https://www.imdb.com/title/tt8503618/
Capharnaüm,2018,2h 6m,Drama,8.4,https://www.imdb.com/title/tt8267604/
Avengers: Endgame,2019,3h 1m,"Action,Adventure,Drama",8.4,https://www.imdb.com/title/tt4154796/
Hotaru no haka,1988,1h 29m,"Animation,Drama,War",8.5,https://www.imdb.com/title/tt0095327/
Modern Times,1936,1h 27m,"Comedy,Drama,Family",8.5,https://www.imdb.com/title/tt0027977/
Casablanca,1942,1h 42m,"Drama,Romance,War",8.5,https://www.imdb.com/title/tt0034583/
The Lion King,1994,1h 28m,"Animation,Adventure,Drama",8.5,https://www.imdb.com/title/tt0110357/
Nuovo Cinema Paradiso,1988,2h 35m,"Drama,Romance",8.5,https://www.imdb.com/title/tt0095765/
Léon,1994,1h 50m,"Action,Crime,Drama",8.5,https://www.imdb.com/title/tt0110413/
The Usual Suspects,1995,1h 46m,"Crime,Drama,Mystery",8.5,https://www.imdb.com/title/tt0114814/
American History X,1998,1h 59m,Drama,8.5,https://www.imdb.com/title/tt0120586/
Gladiator,2000,2h 35m,"Action,Adventure,Drama",8.5,https://www.imdb.com/title/tt0172495/
The Departed,2006,2h 31m,"Action,Crime,Drama",8.5,https://www.imdb.com/title/tt0407887/
Django Unchained,2012,2h 45m,"Drama,Western",8.4,https://www.imdb.com/title/tt1853728/
The Prestige,2006,2h 10m,"Drama,Mystery,Thriller",8.5,https://www.imdb.com/title/tt0482571/
Intouchables,2011,1h 52m,"Biography,Comedy,Drama",8.5,https://www.imdb.com/title/tt1675434/
The Pianist,2002,2h 30m,"Biography,Drama,Music",8.5,https://www.imdb.com/title/tt0253474/
Whiplash,2014,1h 46m,"Drama,Music",8.5,https://www.imdb.com/title/tt2582802/
Shichinin no samurai,1954,3h 27m,"Action,Drama",8.6,https://www.imdb.com/title/tt0047478/
It's a Wonderful Life,1946,2h 10m,"Drama,Family,Fantasy",8.6,https://www.imdb.com/title/tt0038650/
The Silence of the Lambs,1991,1h 58m,"Crime,Drama,Thriller",8.6,https://www.imdb.com/title/tt0102926/
Seppuku,1962,2h 13m,"Action,Drama,Mystery",8.6,https://www.imdb.com/title/tt0056058/
Se7en,1995,2h 7m,"Crime,Drama,Mystery",8.6,https://www.imdb.com/title/tt0114369/
La vita è bella,1997,1h 56m,"Comedy,Drama,Romance",8.6,https://www.imdb.com/title/tt0118799/
The Green Mile,1999,3h 9m,"Crime,Drama,Fantasy",8.6,https://www.imdb.com/title/tt0120689/
Saving Private Ryan,1998,2h 49m,"Drama,War",8.6,https://www.imdb.com/title/tt0120815/
Up,2009,1h 36m,"Animation,Adventure,Comedy",8.2,https://www.imdb.com/title/tt1049413/
Dune: Part One,2021,2h 35m,"Action,Adventure,Drama",8.2,https://www.imdb.com/title/tt1160419/
Koe no katachi,2016,2h 10m,"Animation,Drama",8.2,https://www.imdb.com/title/tt5323662/
Green Book,2018,2h 10m,"Biography,Comedy,Drama",8.2,https://www.imdb.com/title/tt6966692/
96,2018,2h 38m,"Drama,Romance",8.5,https://www.imdb.com/title/tt7019842/
El secreto de sus ojos,2009,2h 9m,"Drama,Mystery,Romance",8.2,https://www.imdb.com/title/tt1305806/
The Wolf of Wall Street,2013,3h,"Biography,Comedy,Crime",8.2,https://www.imdb.com/title/tt0993846/
Gangs of Wasseypur,2012,5h 21m,"Action,Comedy,Crime",8.2,https://www.imdb.com/title/tt1954470/
Andhadhun,2018,2h 19m,"Crime,Drama,Music",8.2,https://www.imdb.com/title/tt8108198/
The Kid,1921,1h 8m,"Comedy,Drama,Family",8.3,https://www.imdb.com/title/tt0012349/
Citizen Kane,1941,1h 59m,"Drama,Mystery",8.3,https://www.imdb.com/title/tt0033467/
Metropolis,1927,2h 33m,"Drama,Sci-Fi",8.3,https://www.imdb.com/title/tt0017136/
Before Sunset,2004,1h 20m,"Drama,Romance",8.1,https://www.imdb.com/title/tt0381681/
Ladri di biciclette,1948,1h 29m,Drama,8.3,https://www.imdb.com/title/tt0040522/
Ikiru,1952,2h 23m,Drama,8.3,https://www.imdb.com/title/tt0044741/
Double Indemnity,1944,1h 47m,"Crime,Drama,Film-Noir",8.3,https://www.imdb.com/title/tt0036775/
Hotel Rwanda,2004,2h 1m,"Biography,Drama,History",8.1,https://www.imdb.com/title/tt0395169/
Mary and Max.,2009,1h 32m,"Animation,Comedy,Drama",8.1,https://www.imdb.com/title/tt0978762/
No Country for Old Men,2007,2h 2m,"Crime,Drama,Thriller",8.1,https://www.imdb.com/title/tt0477348/
Into the Wild,2007,2h 28m,"Adventure,Biography,Drama",8.1,https://www.imdb.com/title/tt0758758/
V for Vendetta,2005,2h 12m,"Action,Drama,Sci-Fi",8.1,https://www.imdb.com/title/tt0434409/
Hachi: A Dog's Tale,2009,1h 33m,"Biography,Drama,Family",8.1,https://www.imdb.com/title/tt1028532/
Gran Torino,2008,1h 56m,Drama,8.1,https://www.imdb.com/title/tt1205489/
Million Dollar Baby,2004,2h 12m,"Drama,Sport",8.1,https://www.imdb.com/title/tt0405159/
Warrior,2011,2h 20m,"Action,Drama,Sport",8.1,https://www.imdb.com/title/tt1291584/
Salinui chueok,2003,2h 11m,"Crime,Drama,Mystery",8.1,https://www.imdb.com/title/tt0353969/
Prisoners,2013,2h 33m,"Crime,Drama,Mystery",8.1,https://www.imdb.com/title/tt1392214/
Ford v Ferrari,2019,2h 32m,"Action,Biography,Drama",8.1,https://www.imdb.com/title/tt1950186/
Spotlight,2015,2h 9m,"Biography,Crime,Drama",8.1,https://www.imdb.com/title/tt1895587/
The General,1926,1h 7m,"Action,Adventure,Comedy",8.1,https://www.imdb.com/title/tt0017925/
La passion de Jeanne d'Arc,1928,1h 50m,"Biography,Drama,History",8.1,https://www.imdb.com/title/tt0019254/
Mr. Smith Goes to Washington,1939,2h 9m,"Comedy,Drama",8.1,https://www.imdb.com/title/tt0031679/
Gone with the Wind,1939,3h 58m,"Drama,History,Romance",8.1,https://www.imdb.com/title/tt0031381/
The Bridge on the River Kwai,1957,2h 41m,"Adventure,Drama,War",8.1,https://www.imdb.com/title/tt0050212/
On the Waterfront,1954,1h 48m,"Crime,Drama,Thriller",8.1,https://www.imdb.com/title/tt0047296/
Le salaire de la peur,1953,2h 11m,"Adventure,Drama,Thriller",8.1,https://www.imdb.com/title/tt0046268/
Rebecca,1940,2h 10m,"Drama,Film-Noir,Mystery",8.1,https://www.imdb.com/title/tt0032976/
Le notti di Cabiria,1957,1h 50m,Drama,8.1,https://www.imdb.com/title/tt0050783/
Ben-Hur,1959,3h 32m,"Adventure,Drama,History",8.1,https://www.imdb.com/title/tt0052618/
La battaglia di Algeri,1966,2h 1m,"Drama,War",8.1,https://www.imdb.com/title/tt0058946/
Les quatre cents coups,1959,1h 39m,"Crime,Drama",8.1,https://www.imdb.com/title/tt0053198/
Strasti po Andreyu,1966,3h 25m,"Biography,Drama,History",8.1,https://www.imdb.com/title/tt0060107/
Persona,1966,1h 25m,"Drama,Thriller",8.1,https://www.imdb.com/title/tt0060827/
Cool Hand Luke,1967,2h 7m,"Crime,Drama",8.1,https://www.imdb.com/title/tt0061512/
Network,1976,2h 1m,Drama,8.1,https://www.imdb.com/title/tt0074958/
Barry Lyndon,1975,3h 5m,"Adventure,Drama,History",8.1,https://www.imdb.com/title/tt0072684/
Rocky,1976,2h,"Drama,Sport",8.1,https://www.imdb.com/title/tt0075148/
Stalker,1979,2h 42m,"Drama,Sci-Fi",8.1,https://www.imdb.com/title/tt0079944/
The Elephant Man,1980,2h 4m,"Biography,Drama",8.1,https://www.imdb.com/title/tt0080678/
Fanny och Alexander,1982,3h 8m,Drama,8.1,https://www.imdb.com/title/tt0083922/
Blade Runner,1982,1h 57m,"Action,Drama,Sci-Fi",8.1,https://www.imdb.com/title/tt0083658/
The Deer Hunter,1978,3h 3m,"Drama,War",8.1,https://www.imdb.com/title/tt0077416/
"Paris, Texas",1984,2h 25m,Drama,8.1,https://www.imdb.com/title/tt0087884/
Platoon,1986,2h,"Drama,War",8.1,https://www.imdb.com/title/tt0091763/
Stand by Me,1986,1h 29m,"Adventure,Drama",8.1,https://www.imdb.com/title/tt0092005/
Dead Poets Society,1989,2h 8m,"Comedy,Drama",8.1,https://www.imdb.com/title/tt0097165/
In the Name of the Father,1993,2h 13m,"Biography,Crime,Drama",8.1,https://www.imdb.com/title/tt0107207/
La haine,1995,1h 38m,"Crime,Drama",8.1,https://www.imdb.com/title/tt0113247/
Before Sunrise,1995,1h 41m,"Drama,Romance",8.1,https://www.imdb.com/title/tt0112471/
Fa yeung nin wah,2000,1h 38m,"Drama,Romance",8.1,https://www.imdb.com/title/tt0118694/
Trainspotting,1996,1h 33m,Drama,8.1,https://www.imdb.com/title/tt0117951/
